stored	reencoded	value
+.5	500m	5e-1
+.5E	500P	5e17
+.5E3	500	5e2
+.5Ei	512Pi	576460752303423488e0
+.5G	500M	5e8
+.5Gi	512Mi	536870912e0
+.5Ki	512	512e0
+.5M	500k	5e5
+.5Mi	512Ki	524288e0
+.5P	500T	5e14
+.5Pi	512Ti	562949953421312e0
+.5T	500G	5e11
+.5Ti	512Gi	549755813888e0
+.5e+21	500e18	5e20
+.5e-1	50e-3	5e-2
+.5e-10	1e-9	1e-9
+.5e-1000	1e-9	1e-9
+.5e-18	1e-9	1e-9
+.5e-19	1e-9	1e-9
+.5e-2147483648	50e2147483646	5e2147483647
+.5e-2147483649	5e2147483646	5e2147483646
+.5e-3	500e-6	5e-4
+.5e-330	1e-9	1e-9
+.5e-4294967296	500e-3	5e-1
+.5e-4294967297	50e-3	5e-2
+.5e-9	1e-9	1e-9
+.5e0	500e-3	5e-1
+.5e03	500	5e2
+.5e1	5	5e0
+.5e10	5e9	5e9
+.5e1000	5e999	5e999
+.5e18	500e15	5e17
+.5e19	5e18	5e18
+.5e21	500e18	5e20
+.5e2147483000	50e2147482998	5e2147482999
+.5e2147483627	50e2147483625	5e2147483626
+.5e2147483646	500e2147483643	5e2147483645
+.5e2147483647	5e2147483646	5e2147483646
+.5e2147483648	50e2147483646	5e2147483647
+.5e3	500	5e2
+.5e330	500e327	5e329
+.5e4294967295	50e-3	5e-2
+.5e4294967296	500e-3	5e-1
+.5e4294967297	5	5e0
+.5e8589934592	500e-3	5e-1
+.5e9	500e6	5e8
+.5k	500	5e2
+.5m	500u	5e-4
+.5n	1n	1e-9
+.5u	500n	5e-7
+0	0	0
+0.0000000001	1n	1e-9
+0.0000000001E	100M	1e8
+0.0000000001E3	100e-9	1e-7
+0.0000000001Ei	115292150460684698n	115292150460684698e-9
+0.0000000001G	100m	1e-1
+0.0000000001Gi	107374183n	107374183e-9
+0.0000000001Ki	103n	103e-9
+0.0000000001M	100u	1e-4
+0.0000000001Mi	104858n	104858e-9
+0.0000000001P	100k	1e5
+0.0000000001Pi	112589990684263n	112589990684263e-9
+0.0000000001T	100	1e2
